number,coformer1,coformer2
3486,Nc1nnc(-c2ccc(Br)cc2)s1,O[C@H]1[C@H](F)[C@@H](F)[C@@H](F)[C@H](F)[C@@H]1F
3487,[C-3]C#N,c1cc(-c2ccncc2)ccn1
3488,C[Si](C)(C)C1=C[C@H](N2C(=O)O[C@H](c3ccccc3)[C@@H]2c2ccccc2)O[C@H]1c1ccccc1,Cc1ccc2c(c1)[C@@H]1[C@H](C(=O)O2)[C@H]2C(=O)Oc3ccc(C)cc3[C@H]21
3489,O=C(O)/C=C/C(=O)O,CO[C@H]1C=C(C#N)[C@]23CC=C(C#N)[C@]12CCC3
3490,CC[P@@]1(=O)CC=C(C)C1,CCCCCOc1cc(OCCCCC)cc(C(=O)Nc2ccc(-c3ccc(N4O[C@H]5C(=O)N(c6ccc(CC(=O)O)cc6)C(=O)[C@H]5[C@@H]4c4ccc(C(=O)Nc5cccc(C)n5)cc4)cc3)cc2)c1
3491,O=C(O)c1ccccc1O,O=C(O[C@H](C(=O)O)[C@H](OC(=O)c1ccccc1)C(=O)O)c1ccccc1
3492,Oc1ccc(I)cc1,NC(N)=O
3493,O=C(O)CCCCC(=O)O,O=C(O)c1ccccc1Cl
3494,C=CCC(O)(C(F)(F)F)C(F)(F)F,C[C@]1(Sc2ccccc2)C(=O)OC(C(F)(F)F)=C[C@@H]1c1ccccc1
3495,O=C(O)c1cc(O)ccc1O,CCSC1=Nc2ccccc2NC2=C1C(=O)O[C@H](C)C2
3496,N#CC(C#N)=C(C#N)C#N,Fc1c(F)c(F)c(/C=N/N=C/c2c(F)c(F)c(F)c(F)c2F)c(F)c1F
3497,CC(=O)O[C@H]1CC[C@]23C[C@H]1OO[C@@]2(C)C(=O)CCC3(C)C,C[C@H]1NC(C)(C)N(O)C1=O
3498,Oc1ccc(O)cc1,O=C(O)CCCCC(=O)O
3499,Nn1cnnc1,O=c1cc[nH]cc1
3500,O=C1CCCC(=O)N1,c1cc2ccc3c4cc5c(cc4c4ccc6ccc1c1c2c3c4c61)C1CC5c2cc3c(cc21)c1ccc2ccc4ccc5ccc3c3c5c4c2c13
3501,c12c3c4c5c1c1c6c7c2c2c8c3c3c9c4c4c%10c5c5c1c1c6c6c%11c7c2c2c7c8c3c3c8c9c4c4c9c%10c5c5c1c1c6c6c%11c2c2c7c3c3c8c4c4c9c5c1c1c6c2c3c41,NC(N)=O
3502,Fc1c(F)c(F)c(I)c(I)c1F,CCOP(=O)(OCC)[C@H](NS(=O)(=O)c1ccc(C)cc1)[C@H]1[C@@H](C(F)(F)F)N1Cc1ccccc1
3503,c1cnc2c(c1)ccc1cccnc12,C=CC[C@]12CCCC[C@@]1(C)C(c1ccco1)=C(CC)[C@@H](CC)N2Cc1ccccc1
3504,N#CC(C#N)=C(C#N)C#N,O=C(O)CNC(=O)NCC(=O)O
3505,CCOC(=O)[C@]12C=CC=CC=C1CN(Cc1ccccc1)C2=O,O=C1C(O)=C(Cl)C(=O)C(O)=C1Cl
3506,COc1ccc2c(c1)N(S(=O)(=O)c1ccc(C)cc1)[C@H]1c3ccccc3C[C@@]21O,O=C1NCc2ccc(cc2)CNC(=O)c2cccc(c2)C(=O)NCc2ccc(cc2)CNC(=O)c2cccc1c2
3507,Nc1cc2nc3ccccc3oc-2cc1=O,c1cc(-c2ccncc2)ccn1
3508,N#CCCCCCNC(=O)NCCCCCC#N,CCSC1=Nc2ccc(Br)cc2[C@@H](SCC)[C@@]1(C)c1ccccc1
3509,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,O=C(O)CCC(=O)O
3510,O=C1CCCCCN1[C@H]1CC12c1ccccc1-c1ccccc12,C[C@@H]1CCCC(=O)C1
3511,CC(=O)Nc1nnc(S(N)(=O)=O)s1,CC[C@H](C)[C@@H](C)O
3512,CC[C@]12N=C(c3ccccc3)[C@H](Oc3c(c4ccccc4c4ccccc34)O1)O2,S=[P@@]1(c2ccccc2)CCC[P@@](=S)(c2ccccc2)C1
3513,CC(C)[Si](C#Cc1c2cc3c(cc2c(C#C[Si](C(C)C)(C(C)C)C(C)C)c2cc4c(cc12)[C@@H]1c2ccccc2[C@H]4c2nc4cc5ccccc5cc4nc21)[C@H]1c2ccccc2[C@@H]3c2nc3cc4ccccc4cc3nc21)(C(C)C)C(C)C,C=C(C)[C@@H]1C=C(c2cc(C)cc(C)c2)C[C@]2(C)C(=O)CCC[C@]12O
3514,C1N2CN3CN1CN(C2)C3,O
3515,CCO[C@@H]1C=C2O[C@@H](C1)C1=C(c3ccccc3CC1)[C@@H]2OC(C)=O,O=C(O)/C=C/C(=O)O
3516,CCN(CC)C(=O)[C@@H](Cc1cccc(C[C@H](C(=O)N(CC)CC)P(=O)(c2ccccc2)c2ccccc2)n1)P(=O)(c1ccccc1)c1ccccc1,CC#N
3517,[C-2]=C1C[C@@](C)(O)CCC[C@]1(Cl)[Si](C)(C)C,CO[C@@]12C[C@@H]3C(=O)N(c4ccccc4)C(=O)[C@@H]3C[C@@H]1[C@@H](c1ccccc1)[C@@H]1[C@@H]3C(=O)N(c4ccccc4)C(=O)[C@@H]3ON1O2
3518,O=C(O)CCCCCCCC(=O)O,O=C(NCc1cc2cc(c1)OCCOCCOCCOCCOc1cc(CNC(=O)Nc3ccccc3)cc(c1)OCCOCCOCCOCCO2)Nc1ccccc1
3519,Nc1cc(Cl)nc(N)n1,COc1cc(/C=C/C(=O)O)ccc1O
3520,O=C(O)c1cc(I)cc(I)c1O,Cn1c2c(c(=O)n(C)c1=O)[C@@]1(C(=O)Nc3ccc(Cl)cc31)C1=C(CCCC1=O)O2
3521,COc1ccc([C@@H]2[C@H]3CCO[C@H]3c3ccccc3N2S(=O)(=O)c2ccc(C)cc2)cc1,[H]/N=C1/OC(C(F)(F)F)(C(F)(F)F)CS1
3522,O=C(O)CCCCCCCCC(=O)O,COC(=O)[C@]1(O)C[C@@H](c2ccccc2)[C@@H]2CCOC(C)(C)[C@H]21
3523,Oc1cc(-c2ccccc2)c(O)cc1-c1ccccc1,c1cc2sc3ccsc3c2s1
3524,[C-3]C#N,C1N2CN3CN1CN(C2)C3
3525,COc1ccc2c(c1)[C@]1(O)CC(=O)O[C@]1(C)N2C(=O)c1ccc(Cl)cc1,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
3526,O=C(O)c1ccc(-c2c(-c3ccc(C(=O)O)cc3)c(-c3ccc(C(=O)O)cc3)c(-c3ccc(C(=O)O)cc3)c(-c3ccc(C(=O)O)cc3)c2-c2ccc(C(=O)O)cc2)cc1,O=c1oc(=O)c2cc3c(=O)oc(=O)c3cc12
3527,Cc1cc([C@@H](Oc2ccccc2)c2ccc(C#N)cc2)c(N(C)C)cc1C,O=C(N/N=C/c1ccccc1OCc1ccccc1)c1ccncc1
3528,Cc1onc(-c2ccc(F)cc2)c1-c1ncc(C(=O)NC(C)C)[nH]1,Fc1ccc(I)c(F)c1F
3529,Fc1c(F)c(I)c(F)c(F)c1I,NC1=N[C@@]2(O)C(F)(F)OC(F)(F)[C@@]2(F)S1
3530,COC(=O)C1=C(C(=O)OC)[C@@H](c2ccc(Cl)cc2Cl)NC(c2ccc(Cl)cc2Cl)=N1,[C-3]C#N
3531,C[C@]12Cc3cn[nH]c3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,NC(=O)CN1CCCC1=O
3532,N[C@H]1CCC[C@@H](N)C1,Oc1ccc(Cl)cc1
3533,BrC1CCCCC1,N[C@@H]1CCCC[C@H]1N
3534,COc1ccc2ccc(=O)oc2c1C[C@H](Br)C(C)(C)OC,COC(=O)N1c2ccccc2[C@]23CCN4C=C(C(=O)C(F)(F)F)C[C@@]5(CC[C@@]12[C@@](O)(C(=O)OC)C5)[C@@]43O
3535,O=C(O)/C=C/C(=O)O,O[C@](C#CC#C[C@@](O)(c1ccccc1)c1ccccc1Cl)(c1ccccc1)c1ccccc1Cl
3536,CC(C)=CC[C@]12OC(C)(C)[C@H]3C[C@@]4(OC(C)(C)OCC4=C[C@]31OCOCC[Si](C)(C)C)C2=O,CC(C)(C)[Si](O)(O)O
3537,Cc1ccc(S(=O)(=O)NC(=O)NN2C[C@H]3CCC[C@H]3C2)cc1,O=C(Nc1cccc(Br)c1)[C@H]1CC[C@H]2C(=O)N(CC3CCCCC3)C(=O)[C@@H]12
3538,c1cncc(-c2nnc(-c3cccnc3)o2)c1,C[C@H](NC(=O)NC12CCCC(CCC1)[C@]21Oc2cc3c4cc5c(cc4c4cc6c(cc4c3cc2O1)O[C@@]1(O6)C2CCCC1(NC(=O)N[C@@H](C)C(C)(C)C)CCC2)O[C@@]1(O5)C2CCCC1(NC(=O)N[C@@H](C)C(C)(C)C)CCC2)C(C)(C)C
3539,NC(=S)N/N=C/c1ccc(O)cc1O,C/C=C\C[C@](O)(c1cccnc1)C(F)(F)F
3540,CC1(C)C[C@@]23O[C@H]4C[C@]2(C[C@H]1OCc1ccccc1)[C@@H]3c1ccccc14,O=C(O)/C=C/c1ccccc1
3541,COc1cc(OC)c2cc1CCCc1cc(c(OC)cc1OC)CCC2,COC(=O)[C@H]1C(=O)C(C)=C(c2ccccc2)[C@H](N(C)N(C)C=O)[C@@H]1C(=O)OC
3542,COC(=O)C(C[C@@H]1CC(c2ccccc2)(c2ccccc2)c2c1cc(OC)c(OC)c2OC)C(=O)OC,O=C(O)CCCCC(=O)O
3543,COC(=O)[C@]12CN([C@H](C)c3ccccn3)C[C@](C(=O)OC)(C1=O)[C@H]1CCCN1[C@H]2c1ccccn1,O=S1(=O)C[C@H](O)[C@@H](Nc2ccccc2)C1
3544,OC(c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1)(C(F)(F)F)C(F)(F)F,CC1(C)CCC[C@]2(C)CO[C@]3(c4cccc(O)c4)OO[C@]123
3545,c1cc2c3c(ccc2c2c1N=[SH][SH]=2)N=[SH][SH]=3,c1cc(-c2ccncc2)ccn1
3546,COC(=O)[C@@]12C[C@]1(I)[C@H](Cc1ccccc1)OC2=O,c1cc(-c2ccncc2)ccn1
3547,Fc1c(F)c(I)c(F)c(F)c1I,CC(=O)NS(=O)(=O)c1ccc(N)cc1
3548,c1cc2ccc1-c1ccc(cc1)-c1ccc(cc1)-c1ccc(cc1)-c1ccc(cc1)-c1ccc(cc1)-c1ccc(cc1)-c1ccc(cc1)-c1ccc(cc1)-c1ccc(cc1)-c1ccc-2cc1,CS/C(=C\[C@@H](C)O)S(=O)(=O)c1ccc(C)cc1
3549,C[C@]12Oc3ccccc3N1[C@@H]1CC[C@H]2C(=O)N1c1ccccc1,c1ccc2c(c1)Nc1ccccc1S2
3550,COc1cccc2c1[C@@](O)(C1=NC(C)(C)CO1)C(Br)=CC2=O,C[C@@H]1CC(=O)c2c(O)cccc2[C@H]1O
3551,Nc1cccc(C(=O)O)c1,Cc1ccc(S(=O)(=O)C[C@H]2c3ccccc3-c3ccccc3[C@@H]2O)cc1
3552,N#CC(C#N)=c1ccc(=C(C#N)C#N)cc1,O=C(O)Cc1ccc(Cl)cc1
3553,Oc1ccccc1O,CCO[C@@H]1CCC([C@](O)(Cc2ccccc2)C(F)(F)F)=CO1
3554,COc1c2ccoc2c(OCC=C(C)C)c2oc(=O)ccc12,Oc1cc(O)cc(O)c1
3555,Oc1cccc(O)c1,Fc1c(F)c(I)c(F)c(F)c1I
3556,CSc1ccc([C@@H](O)[C@@H](Br)C(=O)c2ccc(C)cc2)cc1,Nc1ccc(C(=O)O)cc1
3557,Nc1ncc(Br)nc1Br,NC(N)=S
3558,Cn1c(=O)n(C)n([C@@H]2C=C[C@H](O)[C@@H](O)[C@H]2c2ccc3c(c2)OCO3)c1=O,OC(C#CC#CC(O)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1
3559,CC(C)(C1CC1)[C@]1(c2ccccc2)C[C@H](c2ccccc2)C(=O)O1,Cc1cccc(N2CC=C[C@@H](NC(=O)OCc3ccccc3)O2)n1
3560,C(=C/c1ccccn1)\c1ccc(-c2ccncc2)cc1,C1N2CN3CN1CN(C2)C3
3561,CCCCC1=C[C@H](c2ccc(Cl)cc2)N(C(=O)OCc2ccccc2)O1,COc1ccc2c(c1)[C@](O)([C@@H]1CCCCC1=O)C(=O)N2
3562,CCCCCc1ccc(-c2ccc(C#N)cc2)cc1,CN(C)c1ccc(/C=N/c2ccccc2O)cc1
3563,c1cc(-c2ccncc2)ccn1,CN(CC1=CSC(=C2SC=CS2)S1)Cc1ccccc1
3564,Oc1cccc(O)c1O,CC#N
3565,Fc1c(F)c(I)c(F)c(F)c1I,O=C(O)CC(=O)O
3566,O=S1(=O)N[C@@H](c2ccccc2)[C@@H]2CCCC[C@H]2O1,CCOC(=O)[C@H]1N[C@@](CC(=O)OC)(C(=O)OC)C2(C(=O)c3ccccc3C2=O)[C@@H]1c1cccc(F)c1
3567,Cc1nc(C)c(C)nc1C,CC(C)c1cccc(C(C)C)c1N[C@@H](C)[C@H](C)Nc1c(C(C)C)cccc1C(C)C
3568,CC1(C)C=CC(=O)[C@H]([C@@H]2CC(C)(C)C=CC2=O)C1,CC(C)NC(=O)[C@@H]1c2c[nH]c3cccc(c23)[C@H]2C=CC(=O)N1C2
3569,CC(C)(C)c1cc2c(O)c(c1)Cc1cc(C(C)(C)C)cc(c1OCC(=O)Nc1cnc3ccccc3c1)Cc1cc(C(C)(C)C)cc(c1O)Cc1cc(C(C)(C)C)cc(c1OCC(=O)Nc1cnc3ccccc3c1)C2,C[C@@H]1C2=C(C(=O)OC(C)(C)O2)[C@H](C2CCCCC2)[C@@H]2C(=O)N(c3ccccc3)C(=O)[C@H]12
3570,Fc1c(F)c(F)c2c(F)c(F)c(F)c(F)c2c1F,COc1ccc(N(C)[C@H]2CCC[C@H](O)[C@H]2O)cc1
3571,c1ccc2c3/c([nH]c2c1)=[SH]\[SH]=[SH]/[SH]=c1/[nH]c2ccccc2/c1=3,NC(N)=O
3572,Cc1cccc(C)c1NC(=O)C(=O)Nc1c(C)cccc1C,c1ccc2c(c1)[C@@H]1C[C@H]2c2cc3c(cc21)[C@@H]1C[C@H]3c2cc3c(cc21)[C@@H]1C[C@H]3c2cc3c(cc21)[C@@H]1C[C@H]3c2ccccc21
3573,CC(=O)c1cccnc1,c1cc(-c2ccncc2)ccn1
3574,COC(=O)[C@@]12C[C@]1(I)[C@H](Cc1ccccc1)OC2=O,FC(F)(I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I
3575,C1=CSC(=C2SC=CS2)S1,O=C(O)CCC(=O)O
3576,O=C1OC(=O)[C@H]2[C@@H]1[C@@H]1C[C@H]2C2=C1C[C@@H]1C=C[C@H]2C1,c1ccc([C@@H]2Nc3ccccc3[C@@H]3OCC[C@H]23)cc1
3577,O=C(O)COc1ccc(OCC(=O)O)cc1,O=C1c2ccccc2S[C@@H]2[C@H]3Sc4ccccc4C(=O)[C@H]3[C@H]12
3578,c1cnc2c(c1)ccc1ncccc12,CN1CCC[C@H]1c1cccnc1
3579,Oc1cc(O)cc(-c2c3ccccc3c(-c3cc(O)cc(O)c3)c3ccccc23)c1,C#CCN(CC#C)[C@H]1C[C@@H](O)c2ccccc21
3580,C[C@H](O)[C@]1(C)C([C@@H](C)O)=C([Si](C)(C)C)C(=O)[C@H]1[Si](C)(C)C,O=S(=O)(c1ccccc1)N1c2ccccc2[C@H](Cl)[C@]12N=NN1CCC[C@H]3CCCC[C@]312
3581,C1=C=NC#CN=1,CC(C)C(=O)N1C(=S)c2ccccc2[C@]12SC(C)(C)C(=O)N1C=CC=C[C@H]12
3582,Oc1ccc(O)cc1,O=C(O)c1c(F)c(F)c(C(=O)O)c(F)c1F
3583,c1cc(/N=N/c2ccncc2)ccn1,CC[C@]1(c2ccccc2)NC(=O)N(Cc2ccc(C#N)cc2)C1=O
3584,C1=CN(c2ccccc2)C=CC1=C1C=CN(c2ccccc2)C=C1,O=C(O)Cn1c(=O)c2cc3c(=O)n(CC(=O)O)c(=O)c3cc2c1=O
3585,Fc1c(F)c(F)c2c(F)c(F)c(F)c(F)c2c1F,COC(=O)[C@@H]1[C@H]2C=C[C@@H]3[C@@]2(CO)CO[C@]13C(=O)OC
3586,CC1=C(C)SC(=c2c3ccccc3c(=C3SC(C)=C(C)S3)c3ccccc23)S1,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C
3587,O=C(O)/C=C/C(=O)O,O=C1C(O)=C(Cl)C(=O)C(O)=C1Cl
3588,O=C(O)c1cc(C(=O)O)cc(-c2cc(C(=O)O)cc(C(=O)O)c2)c1,O=C(O)/C=C/C(=O)O
3589,c1ccc2c(c1)Nc1ccccc1S2,CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1
3590,Brc1cncc(Br)c1,CC(C)(C)C1=N[C@]23CCCC[C@@]24N=C(C(C)(C)C)[C@@H]3C(=NCc2ccccc2)[C@@H]14
3591,CN1C(=O)[C@](O)(C(F)(F)C(=O)c2ccccc2)c2cc(Br)cc(Br)c21,c1ccc2ccccc2c1
3592,O=c1[nH]c(=O)c2c(I)c3c(=O)[nH]c(=O)c3c(I)c12,c1csc(-c2ccc(-c3ccc(-c4cccs4)s3)s2)c1
3593,NC(=S)N1N=C2c3ccccc3CC[C@H]2[C@H]1c1ccccc1,O=C(O)[C@@H]1C[C@@H]2C[C@@H]2C[C@H]1C(=O)O
3594,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O,COc1ccc([C@@H](CC(=O)/C=C/c2ccccc2)CC2C(=O)OC3(CCCCC3)OC2=O)cc1
3595,CC(=O)Nc1ccncc1,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
3596,ClC1CCCCC1,Cc1ccccc1C(=O)O
3597,CCCCN1C(=O)N(S(=O)(=O)c2ccc(C)cc2)[C@@H](c2ccccc2)C2=CC[C@@H]3C(=O)N(c4ccccc4)C(=O)[C@@H]3[C@@H]21,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
3598,NC(N)=S,Nc1ccc(C(=O)O)cc1
3599,CCCCn1cc(C2=CSC(=C3SC4=C(SCCS4)S3)S2)c(=O)[nH]c1=O,O=P(c1ccccc1)(c1ccccc1)c1ccccc1
3600,CC1(C)CNC(C(F)(F)F)=N1,c1cc(-c2ccncc2)ccn1
3601,C=CC(C)(C)[C@]1(O)c2c(F)cccc2Oc2cccc(OC)c21,Oc1ccc(-c2cc(-c3ccc(O)cc3)cc(-c3ccc(O)cc3)c2)cc1
3602,CC(C)=C1C=C[C@@H]2c3ccccc3N[C@@H](c3ccccc3)[C@H]12,Cn1c(=O)c2c(c3ccccc31)C=C[C@H]([C@H](O)c1ccccc1)C2
3603,C[C@@]12C=C[C@@H](C(=O)N1)[C@@]1(C)C=C[C@@H]2C(=O)N1,NC(=O)c1cccc(N)c1
3604,O=P(c1ccccc1)(c1ccccc1)c1ccccc1,CC1(C)CCC[C@]2(C)C3=C(CC[C@@H]12)C(=O)O[C@H]3O
3605,COc1ccc(-c2c(I)cc3ccc4cc(I)c(-c5ccc(OC)cc5)c5ccc2c3c45)cc1,O=C(O)COc1ccccc1C(=O)O
3606,COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,CO[C@]12OO[C@@]3(C=C1C(=O)C(C)(C)C(=O)C2(C)C)COC(C)(C)O3
3607,CCOC(=O)c1c([C@H](F)OC(F)(F)F)noc1N,C=CCN1[C@H](c2ccccc2)C/C(=N\O)[C@@H](C)[C@@H]1c1ccccc1
3608,CC(=O)[C@@H]1CC(c2ccc(Cl)cc2)=CC(=O)[C@@]12C(=O)N(C)c1ccccc12,Cc1ccnc(-c2nccc3c2C2c4c(ccnc4-c4cc(C)ccn4)C3C3c4c(ccnc4-c4cc(C)ccn4)C2c2ccnc(-c4cc(C)ccn4)c23)c1
3609,NC(=O)c1cnccn1,O=C1C[C@@H](c2ccccc2)C(=O)N1
3610,O=C(O)[C@H]1C[C@@H]2[C@H]3[C@@H]4[C@H]5CC[C@H]5[C@@H]4[C@H]3[C@H]12,[C-3]C#N
3611,C[C@@H]1C(=O)[C@H](C)[C@@H]2C=C[C@@]1(NC(=O)OC(C)(C)C)O2,O=C(O)CCCC(=O)O
3612,Nc1ncnc2[nH]cnc12,Nc1cccc(O)c1
3613,C1N2CN3CN1CN(C2)C3,Cc1cccc(N)c1C
3614,O=C(O)c1ccccc1O,C#C[C@]1(O)c2cccc(Cl)c2[C@@](O)(C#C)c2cccc(Cl)c21
3615,Cc1cc2ncn(Cc3cccnc3)c2cc1C,IC#CC#CI
3616,NC(=O)c1ccncc1,c1cc(-c2ccncc2)ccn1
3617,Cc1nc(C)c(Cl)c(N)n1,CC1(C)CC#CCNC(=O)C(C)(C)CC#CCNC(=O)C(C)(C)CC#CCNC1=O
3618,Fc1c(F)c(I)c(F)c(F)c1I,CC1=CC(O)=NS(=O)(=O)O1
3619,COC(=O)[C@@H]1[C@@H](c2ccc(C)cc2)C[C@H]2[C@H](O[Si](C)(C)C(C)(C)C)C[C@@H]1N2C,O=C(O)Cc1c[nH]c2ccccc12
3620,O=C(O)CCCC(=O)O,OC(c1ccccc1)(c1ccccc1)[C@@H]1OC2(CCCCC2)O[C@H]1C(O)(c1ccccc1)c1ccccc1
3621,C1#COC#CO1,C[C@H]1CCCCN1
3622,C=C1C2Cc3ccccc3CC1Cc1ccccc1C2,C1=CSC(=C2SC=CS2)S1
3623,C[C@H]1CCC[C@@H]([C@@H](O)c2ccc([C@@H](O)[C@H]3CCC[C@@H](C)C3=O)cc2)C1=O,CN(C)c1ccc(C(=O)O)cc1
3624,CC(=O)NS(=O)(=O)c1ccc(N)cc1,Fc1c(F)c(F)c2c(F)c(F)c(F)c(F)c2c1F
3625,O=C(O)CCC(=O)O,O
3626,O=C(O)c1ccc(C(=O)O)cc1,O=c1oc(=O)c2cc3c(=O)oc(=O)c3cc12
3627,C=CC[C@]12OC(C)(C)O[C@H]1C(=O)[C@@H]1[C@@H]3C=C[C@@H](C3)[C@@H]1[C@@H]2O,c1ccc2ccccc2c1
3628,COc1cc(C=O)ccc1O,COc1cccc2c1OC(=O)[C@@H]1[C@@H](c3ccccc3)Oc3c(c(=O)n(C)c(=O)n3C)[C@H]21
3629,CC(C)(C)OC(=O)NCC[C@@H]1C[C@@]1(CCO)NC(=O)OC(C)(C)C,Nc1nc(-c2csc(N)n2)cs1
3630,O=C(O)c1ccc2ccccc2c1-c1c(C(=O)O)ccc2ccccc12,O=C(O)C(=O)O
3631,Oc1ccc(-c2ccc(O)cc2)cc1,O=P(C1CCCCC1)(C1CCCCC1)C1CCCCC1
3632,COc1ccc2c(c1)CN1CN2[C@H](OC(C)=O)c2cc(OC)ccc21,C=C(C)[C@@]12CCN(S(=O)(=O)c3ccc(C)cc3)[C@@H]3CCCC[C@]3(CC1=O)C2
3633,CCOC(=O)[C@@H](Cc1ccccc1)c1ccccc1-c1nc(C)c(Cc2ccccc2)c(=O)[nH]1,O=C1NCCN1
3634,CC1=C2[C@H](O)CC(C)(C)C[C@@H]2[C@@H](C)CC1,Nc1nc(-c2csc(N)n2)cs1
3635,NC(=O)c1cnccn1,C=C[C@@H](c1ccccc1)[C@]1(O)CCCC[C@H]1c1ccccc1
3636,CCC(=O)N1[C@H](CCc2ccc(OC)cc2)c2ccccc2S1(=O)=O,CC(C)(C)c1cc(-c2cn(-c3cc(C(C)(C)C)cc(C(C)(C)C)c3)nn2)cc(C(C)(C)C)c1
3637,CN1CCNC(=O)Nc2ccccc2NC(=O)NC(C)(C)c2cccc(c2)C(C)(C)NC(=O)Nc2ccccc2NC(=O)NCC1,CC1(C)c2cc3[nH]c(nc(=O)c4cccc(c4)c(=O)nc4nc(cc5[nH]c(nc(=O)c6cccc(c6)c(=O)nc(n2)C1(C)C)C(C)(C)C5(C)C)C(C)(C)C4(C)C)C(C)(C)C3(C)C
3638,C[C@]12C[C@@H]3C=C[C@@]1(C(=O)c1ccccc1)[C@@H]3CC2=O,Cn1c(=O)c2c(ncn2C)n(C)c1=O
3639,O=C(O)c1sccc1Br,C(=C/c1ccncc1)\c1ccncc1
3640,CC[C@H](C)COC(=O)C1=C(C)NC(C)=C(C(=O)OC)[C@H]1c1ccccc1OC(F)F,C1COCCOCCOCCOCCOCCO1
3641,O=C(O)CCCC(=O)O,O=C1C(F)=C(F)C(=O)C(F)=C1F
3642,C[C@H]1C(=O)C[C@H](c2ccccc2)N(C(=O)CCl)[C@@H]1c1ccccc1,Fc1c(F)c(I)c(F)c(F)c1I
3643,Cc1cccc(=O)[nH]1,O=C1CC(=O)NC(=O)N1
3644,FC(F)(I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,Fc1c(F)c(I)c(F)c(F)c1I
3645,COC(=O)C(C[C@@H]1CC(c2ccccc2)(c2ccccc2)c2c1cc(OC)c(OC)c2OC)C(=O)OC,O=C(O)c1ccc(C(=O)O)cc1
3646,c1cc(-c2ccncc2)ccn1,OC[C@@H]1C[C@]12CC2(Br)Br
3647,CCCn1c(=O)c2[nH]c(-c3cc(OCC(=O)Nc4ccc5c(c4)OCO5)nn3C)nc2n(CCC)c1=O,NC(=O)c1ccncc1
3648,C(=C/c1ccncc1)\c1ccncc1,Cc1nc(C)c(C)nc1C
3649,COc1cc(C=O)ccc1O,O=C1C[C@@H]2O[C@@H](O)[C@H]3[C@@H]2O[C@@]12COC[C@H]32
3650,Cc1ccc(S(=O)(=O)N/C(=C\[C@@H](c2ccc(Br)cc2)[C@H]2c3ccccc3[C@@H]3C=C(c4ccccc4)OC(=O)[C@@H]32)c2ccccc2)cc1,Cc1cc2ncn(Cc3ccncc3)c2cc1C
3651,C1CCCCOCCOCCOCCOCCOCCOCCC1,O=C(O)C(=O)O
3652,C1COCCOCCOCCOCCOCCO1,CCOC(=O)/C=C1/C=C2/COC[C@H]2/C=C/[C@@H](C)CC1
3653,NC(=O)c1cnccn1,c1cc(-c2ccncc2)ccn1
3654,O=C(O)c1ccc(O)cc1,CCSC1=C(c2ccc(OC)cc2)[C@H](c2ccccc2)Oc2ccccc21
3655,Cn1c(=O)n(C)n([C@@H]2C=C[C@H](O)[C@@H](O)[C@H]2c2ccc3c(c2)OCO3)c1=O,Oc1ccccc1O
3656,CC(=O)N1C=CN(C(C)=O)C=C1,CN(C)c1ccc(C(=C(c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)cc1
3657,COC(=O)C1(C(=O)OC)SC(c2ccccc2)(c2ccccc2)[C@@H](c2ccccc2)N1c1ccccc1,O=C(O)c1ccccc1O
3658,Cn1nnc2c(C(N)=O)ncn2c1=O,Fc1c(F)c(I)c(F)c(F)c1I
3659,COc1ccc(/C=C/c2cnc(C)c3c2CO[C@@H](C)O3)cc1OC,O=S(=O)(c1ccccc1)N1c2ccccc2[C@H](Cl)[C@]12N=NN1CCC[C@H]3CCCC[C@]312
3660,Fc1c(I)c(I)c(F)c(I)c1I,O=C1c2ccccc2[C@H]2C[C@@H]1c1ccccc1C2=O
3661,Cc1ccc(S(=O)(=O)N2C[C@@H]3CCC[C@H](C(=O)c4ccc(-c5ccccc5)cc4)[C@@H]3C2=O)cc1,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
3662,Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F,Fc1c(F)c(I)c(F)c(F)c1I
3663,Fc1c(F)c(F)c(I)c(I)c1F,CC1(C)CC[C@]2(C)CCCC(=O)[C@@H]2[C@@H]1O
